gene	disease	inheritance
A2ML1	Nonsyndromic otitis media;Nonsyndromic otitis media	
AAAS	Achalasia-alacrima syndrome;ACHALASIA-ALACRIMA SYNDROME	
AARS	Charcot-Marie-Tooth disease;Charcot-Marie-Tooth disease	
AARS2	Combined oxidative phosphorylation deficiency 8;COMBINED OXIDATIVE PHOSPHORYLATION DEFICIENCY 8	
AASS	Hyperlysinemia;HYPERLYSINEMIA, TYPE I	
ABAT	Gamma-aminobutyric acid transaminase deficiency;GABA-TRANSAMINASE DEFICIENCY;severe psychomotor retardation;intractable seizures;hypotonia;hyperreflexia;elevated GABA in basal ganglia;Gamma-aminobutyric acid transaminase deficiency	
ABCA1	Familial hypoalphalipoproteinemia;HIGH DENSITY LIPOPROTEIN DEFICIENCY	
ABCA12	Autosomal recessive congenital ichthyosis 4A;ICHTHYOSIS, CONGENITAL, AUTOSOMAL RECESSIVE 4A	
ABCA3	Pulmonary Surfactant Metabolism Dysfunction	
ABCA4	Cone-rod dystrophy 3;Cone-rod dystrophy 3	Autosomal recessive inheritance
ABCA5	Dental (child onset);Gingival fibromatosis with hypertrichosis;Neurologic (child onset);MR/ID/DD;HYPERTRICHOSIS, CONGENITAL GENERALIZED, WITH GINGIVAL HYPERPLASIA (1 patient);Craniofacial (child onset);Dermatologic (child onset);Seizures/Epilepsy;Inborn genetic diseases	
ABCB1	Colchicine resistance;COLCHICINE RESISTANCE	
ABCB11	Benign recurrent intrahepatic cholestasis 2;CHOLESTASIS, BENIGN RECURRENT INTRAHEPATIC 2	Autosomal recessive inheritance
ABCB4	Cholecystitis;GALLBLADDER DISEASE 1	
ABCB6	Dyschromatosis universalis hereditaria 3;DYSCHROMATOSIS UNIVERSALIS HEREDITARIA 3	
ABCB7	Anemia sideroblastic and spinocerebellar ataxia;Anemia sideroblastic and spinocerebellar ataxia	
ABCC2	Dubin-Johnson syndrome;Dubin-Johnson syndrome	
ABCC6	Generalized arterial calcification of infancy 2;ARTERIAL CALCIFICATION, GENERALIZED, OF INFANCY, 2	
ABCC8	Congenital Hyperinsulinism;Persistent hyperinsulinemic hypoglycemia of infancy;Familial hyperinsulinism	Autosomal recessive inheritance
ABCC9	Atrial fibrillation, familial, 12;ATRIAL FIBRILLATION, FAMILIAL, 12	
ABCD1	ADDISON DISEASE;Adrenoleukodystrophy;Addisons disease	X-linked inheritance
ABCD4	METHYLMALONIC ACIDURIA AND HOMOCYSTINURIA, cblJ TYPE;METHYLMALONIC ACIDURIA AND HOMOCYSTINURIA, cblJ TYPE	
ABCG8	Gallbladder disease 4;GALLBLADDER DISEASE 4	
ABHD12	Polyneuropathy, hearing loss, ataxia, retinitis pigmentosa, and cataract;POLYNEUROPATHY, HEARING LOSS, ATAXIA, RETINITIS PIGMENTOSA, AND CATARACT	
ABHD5	Triglyceride storage disease with ichthyosis;CHANARIN-DORFMAN SYNDROME	
ABL1	Chronic myeloid leukemia, resistant to imatinib;CHRONIC MYELOID LEUKEMIA, RESISTANT TO IMATINIB	
ACACB	Retinitis pigmentosa	
ACAD8	Deficiency of isobutyryl-CoA dehydrogenase;ISOBUTYRYL-CoA DEHYDROGENASE DEFICIENCY	
ACAD9	Acyl-CoA dehydrogenase family, member 9, deficiency of;MITOCHONDRIAL COMPLEX I DEFICIENCY DUE TO ACAD9 DEFICIENCY	
ACADM	Acyl-CoA dehydrogenase, medium chain, deficiency of;Not Provided;Medium-chain acyl-coenzyme A dehydrogenase deficiency;not provided;MCAD DEFICIENCY	Autosomal recessive inheritance
ACADS	Deficiency of butyryl-CoA dehydrogenase;Not Provided;not provided	Autosomal recessive inheritance
ACADSB	Deficiency of 2-methylbutyryl-CoA dehydrogenase;2-@METHYLBUTYRYL-CoA DEHYDROGENASE DEFICIENCY	
ACADVL	not provided;Not Provided	
ACAN	Osteochondritis dissecans;OSTEOCHONDRITIS DISSECANS, SHORT STATURE, AND EARLY-ONSET OSTEOARTHRITIS	
ACAT1	Deficiency of acetyl-CoA acetyltransferase;3-@KETOTHIOLASE DEFICIENCY	Autosomal recessive inheritance
ACD	Dyskeratosis congenita, autosomal dominant 6;DYSKERATOSIS CONGENITA, AUTOSOMAL DOMINANT 6 (1 family);Dyskeratosis congenita, autosomal recessive 7	
ACE	Angiotensin i-converting enzyme, benign serum increase;ANGIOTENSIN I-CONVERTING ENZYME, BENIGN SERUM INCREASE	
ACKR1	DUFFY BLOOD GROUP SYSTEM, FY(a-b-) PHENOTYPE;DUFFY BLOOD GROUP SYSTEM, FY(a-b-) PHENOTYPE	
ACO2	Infantile cerebellar-retinal degeneration;INFANTILE CEREBELLAR-RETINAL DEGENERATION	
ACOX1	Pseudoneonatal adrenoleukodystrophy;PEROXISOMAL ACYL-CoA OXIDASE DEFICIENCY	Autosomal recessive inheritance
ACP5	Spondyloenchondrodysplasia with immune dysregulation;SPONDYLOENCHONDRODYSPLASIA WITH IMMUNE DYSREGULATION	
ACSF3	Combined malonic and methylmalonic aciduria;COMBINED MALONIC AND METHYLMALONIC ACIDURIA	
ACSL4	Mental retardation 63, X-linked;MENTAL RETARDATION, X-LINKED 63	X-linked inheritance
ACTA1	Congenital myopathy with fiber type disproportion;Congenital Fiber-Type Disproportion	
ACTA2	Aortic aneurysm, familial thoracic 6;AORTIC ANEURYSM, FAMILIAL THORACIC 6	Autosomal dominant inheritance
ACTB	Baraitser-Winter syndrome 1	Autosomal dominant inheritance
ACTG1	Deafness, autosomal dominant 20;DEAFNESS, AUTOSOMAL DOMINANT 20	
ACTG2	Chronic intestinal pseudoobstruction	
ACTN1	Platelet-type bleeding disorder 15;BLEEDING DISORDER, PLATELET-TYPE, 15	
ACTN2	Cardiomyopathy;CARDIOMYOPATHY, DILATED, 1AA, WITH OR WITHOUT LEFT VENTRICULAR NONCOMPACTION;Dilated cardiomyopathy 1AA;Familial hypertrophic cardiomyopathy 23	
ACTN4	Focal segmental glomerulosclerosis 1;FOCAL SEGMENTAL GLOMERULOSCLEROSIS 1	
ACVR1	Progressive myositis ossificans;FIBRODYSPLASIA OSSIFICANS PROGRESSIVA	
ACVR1B	Carcinoma of pancreas;PANCREATIC CARCINOMA, SOMATIC	
ACVR2B	Heterotaxy, visceral, 4, autosomal;HETEROTAXY, VISCERAL, 4, AUTOSOMAL	
ACVRL1	Hereditary hemorrhagic telangiectasia type 2	Autosomal dominant inheritance
ADA	Adenosine deaminase 2 allozyme;ADENOSINE DEAMINASE 2 ALLOZYME	
ADAM10	Reticulate acropigmentation of Kitamura;RETICULATE ACROPIGMENTATION OF KITAMURA	
ADAM17	Inflammatory skin and bowel disease, neonatal 1;INFLAMMATORY SKIN AND BOWEL DISEASE, NEONATAL, 1 (1 family)	
ADAM9	Cone-rod dystrophy 9;CONE-ROD DYSTROPHY 9	
ADAMTS10	Weill-Marchesani syndrome 1;WEILL-MARCHESANI SYNDROME 1	
ADAMTS13	Upshaw-Schulman syndrome;THROMBOTIC THROMBOCYTOPENIC PURPURA, CONGENITAL	
ADAMTS17	Weill-Marchesani-like syndrome;WEILL-MARCHESANI-LIKE SYNDROME	
ADAMTS18	Microcornea, myopic chorioretinal atrophy, and telecanthus;MICROCORNEA, MYOPIC CHORIORETINAL ATROPHY, AND TELECANTHUS	
ADAMTS2	Ehlers-Danlos syndrome, type vii, autosomal recessive;EHLERS-DANLOS SYNDROME, TYPE VIIC	
ADAMTSL2	Geleophysic dysplasia 1;GELEOPHYSIC DYSPLASIA 1	
ADAMTSL4	ECTOPIA LENTIS 2, ISOLATED, AUTOSOMAL RECESSIVE;Ectopia lentis et pupillae;Ectopia lentis, isolated autosomal recessive	
ADAR	Aicardi-goutieres syndrome 6;AICARDI-GOUTIERES SYNDROME 6	
ADCY1	Deafness, autosomal recessive 44;DEAFNESS, AUTOSOMAL RECESSIVE 44 (1 family);Deafness autosomal recessive 44;DFNB44	
ADCY5	Dyskinesia, familial, with facial myokymia	
ADCY6	Lethal congenital contracture syndrome 8;LETHAL CONGENITAL CONTRACTURE SYNDROME 8 (1 family)	
ADD3	CEREBRAL PALSY, SPASTIC QUADRIPLEGIC, 3 (1 family);Cerebral palsy, spastic quadriplegic, 3;Cerebral palsy	
ADGRE2	Vibratory urticaria;VIBRATORY URTICARIA	
ADGRG1	Polymicrogyria, bilateral frontoparietal;Bilateral frontoparietal polymicrogyria	Autosomal recessive inheritance
ADGRG2	Congenital bilateral absence of the vas deferens;Congenital bilateral absence of vas deferens;obstructive azoospermia;infertility	Autosomal recessive inheritance
ADGRG6	Arthrogryposis multiplex congenita;Arthrogryposis multiplex congenita	
ADGRV1	Febrile seizures, familial, 4;FEBRILE SEIZURES, FAMILIAL, 4 (1 family)	
ADK	Hypermethioninemia due to adenosine kinase deficiency;HYPERMETHIONINEMIA DUE TO ADENOSINE KINASE DEFICIENCY	
