"ID"	"adj.P.Val"	"P.Value"	"t"	"B"	"logFC"	"Gene.symbol"	"Gene.title"
"20500"	"0.273"	"0.0000637"	"-9.41"	"1.7663"	"-2.29"	""	""
"13909"	"0.273"	"0.0000737"	"9.18"	"1.6749"	"1.13"	""	""
"1075"	"0.273"	"0.0000854"	"-8.95"	"1.5802"	"-1.11"	"RPS29"	"ribosomal protein S29"
"6312"	"0.273"	"0.000098"	"-8.75"	"1.4907"	"-1.14"	"RPL6"	"ribosomal protein L6"
"19050"	"0.273"	"0.0001321"	"8.31"	"1.2899"	"1.02"	"KIAA1109"	"KIAA1109"
"20106"	"0.273"	"0.0000679"	"-1.13e+01"	"1.1773"	"-1.74"	""	""
"11599"	"0.273"	"0.0001562"	"8.07"	"1.1736"	"1.23"	"VWF"	"von Willebrand factor"
"10485"	"0.273"	"0.0001587"	"-8.05"	"1.1626"	"-1.91"	""	""
"11196"	"0.273"	"0.0001864"	"-7.83"	"1.0488"	"-1.02"	"PDGFRL"	"platelet derived growth factor receptor like"
"16899"	"0.273"	"0.0001916"	"7.79"	"1.0293"	"1.16"	""	""
"17367"	"0.273"	"0.0002427"	"-7.47"	"0.8575"	"-3.52"	""	""
"13921"	"0.273"	"0.0001468"	"-9.73"	"0.8185"	"-1.67"	"CRMP1"	"collapsin response mediator protein 1"
"3280"	"0.273"	"0.0002587"	"-7.39"	"0.8106"	"-1.37"	"EEF1A1"	"eukaryotic translation elongation factor 1 alpha 1"
"602"	"0.273"	"0.0002151"	"-9.02"	"0.6173"	"-1.39"	"NT5M"	"5',3'-nucleotidase, mitochondrial"
"11690"	"0.273"	"0.0003623"	"6.96"	"0.5568"	"1.24"	"G3BP2"	"G3BP stress granule assembly factor 2"
"18684"	"0.273"	"0.0002908"	"8.49"	"0.4472"	"1.43"	""	""
"15675"	"0.273"	"0.0004193"	"6.78"	"0.444"	"9.50e-01"	"KCNK7"	"potassium two pore domain channel subfamily K member 7"
"12758"	"0.273"	"0.0004299"	"-6.75"	"0.4247"	"-1.09"	""	""
"16535"	"0.273"	"0.0004365"	"-6.74"	"0.4127"	"-1.35"	""	""
"15715"	"0.273"	"0.0004552"	"6.69"	"0.3801"	"2.04"	"COQ8A"	"coenzyme Q8A"
"3284"	"0.273"	"0.0004894"	"-6.60"	"0.3231"	"-2.13"	""	""
"8307"	"0.273"	"0.0003611"	"-8.12"	"0.319"	"-1.44"	""	""
"4652"	"0.273"	"0.0003731"	"8.07"	"0.2992"	"1.65"	"GCNT2"	"glucosaminyl (N-acetyl) transferase 2, I-branching enzyme (I blood group)"
"12318"	"0.273"	"0.0005205"	"6.53"	"0.2743"	"1.54"	"SNX27"	"sorting nexin family member 27"
"93"	"0.273"	"0.0003936"	"-7.98"	"0.2665"	"-1.34"	"PUS7"	"pseudouridylate synthase 7 (putative)"
"2142"	"0.273"	"0.0004136"	"7.90"	"0.236"	"1.32"	"GREB1"	"growth regulation by estrogen in breast cancer 1"
"13166"	"0.273"	"0.0005596"	"6.44"	"0.2168"	"9.30e-01"	"WASL"	"Wiskott-Aldrich syndrome like"
"17306"	"0.273"	"0.0005596"	"-6.44"	"0.2167"	"-8.87e-01"	"SMG7-AS1"	"SMG7 antisense RNA 1"
"10624"	"0.273"	"0.0004441"	"7.79"	"0.1918"	"1.46"	"TMF1"	"TATA element modulatory factor 1"
"4030"	"0.273"	"0.0005904"	"-6.38"	"0.1739"	"-7.97e-01"	"PFAS"	"phosphoribosylformylglycinamidine synthase"
"13843"	"0.273"	"0.0006154"	"-6.33"	"0.1406"	"-1.07"	"ARHGAP10"	"Rho GTPase activating protein 10"
"6887"	"0.273"	"0.0006413"	"6.28"	"0.1074"	"1.04"	"CKB"	"creatine kinase B"
"1201"	"0.273"	"0.0005281"	"-7.52"	"0.0816"	"-1.35"	"HMGCR"	"3-hydroxy-3-methylglutaryl-CoA reductase"
"1123"	"0.273"	"0.0005473"	"-7.46"	"0.0586"	"-1.14"	"TSPAN6"	"tetraspanin 6"
"4776"	"0.273"	"0.0006944"	"6.19"	"0.0429"	"8.10e-01"	"VDAC3"	"voltage dependent anion channel 3"
"20024"	"0.273"	"0.000567"	"7.41"	"0.0356"	"1.69"	"CCDC102B"	"coiled-coil domain containing 102B"
"383"	"0.273"	"0.000569"	"7.40"	"0.0333"	"1.20"	"SLC6A3"	"solute carrier family 6 member 3"
"1260"	"0.273"	"0.0005737"	"7.39"	"0.0279"	"1.37"	"SLC6A1"	"solute carrier family 6 member 1"
"18538"	"0.273"	"0.0007571"	"6.10"	"-0.0275"	"2.27"	"TTN"	"titin"
"243"	"0.273"	"0.0006458"	"7.21"	"-0.0502"	"2.04"	"PIGB"	"phosphatidylinositol glycan anchor biosynthesis class B"
"11238"	"0.273"	"0.0006535"	"-7.19"	"-0.0581"	"-1.09"	"KCNMB4"	"potassium calcium-activated channel subfamily M regulatory beta subunit 4"
"546"	"0.273"	"0.0006716"	"7.15"	"-0.0764"	"1.27"	"SUPT5H"	"SPT5 homolog, DSIF elongation factor subunit"
"16315"	"0.273"	"0.000811"	"-6.02"	"-0.084"	"-8.20e-01"	""	""
"19073"	"0.273"	"0.0008187"	"6.01"	"-0.0918"	"7.83e-01"	"TIA1"	"TIA1 cytotoxic granule-associated RNA binding protein"
"20888"	"0.273"	"0.0008351"	"-5.99"	"-0.1081"	"-1.27"	"GARNL3"	"GTPase activating Rap/RanGAP domain like 3"
"19196"	"0.273"	"0.0008438"	"-5.98"	"-0.1167"	"-9.17e-01"	"ABRACL"	"ABRA C-terminal like"
"3046"	"0.273"	"0.000856"	"-5.96"	"-0.1286"	"-8.57e-01"	"PLBD1"	"phospholipase B domain containing 1"
"13951"	"0.273"	"0.0008768"	"5.93"	"-0.1484"	"1.18"	"TRIM6-TRIM34"	"TRIM6-TRIM34 readthrough"
"9213"	"0.273"	"0.0007608"	"-6.97"	"-0.1606"	"-1.14"	""	""
"8722"	"0.273"	"0.0008921"	"-5.92"	"-0.1627"	"-8.87e-01"	""	""
"845"	"0.273"	"0.0008942"	"5.91"	"-0.1647"	"7.60e-01"	"CCDC170"	"coiled-coil domain containing 170"
"17965"	"0.273"	"0.0008968"	"5.91"	"-0.1671"	"9.60e-01"	"ZNF462"	"zinc finger protein 462"
"284"	"0.273"	"0.000773"	"6.95"	"-0.1715"	"1.12"	"PSMA1"	"proteasome subunit alpha 1"
"17261"	"0.273"	"0.0009321"	"-5.87"	"-0.1992"	"-9.40e-01"	"BRWD1"	"bromodomain and WD repeat domain containing 1"
"1059"	"0.273"	"0.0009321"	"5.87"	"-0.1992"	"9.13e-01"	"SNAPC4"	"small nuclear RNA activating complex polypeptide 4"
"13597"	"0.274"	"0.0009547"	"5.84"	"-0.2191"	"7.17e-01"	"TMEM70"	"transmembrane protein 70"
"6368"	"0.273"	"0.0008295"	"-6.85"	"-0.2201"	"-1.10"	"RPL10A"	"ribosomal protein L10a"
"8348"	"0.273"	"0.0008508"	"-6.81"	"-0.2377"	"-1.13"	""	""
"5329"	"0.274"	"0.0009814"	"-5.81"	"-0.2422"	"-9.60e-01"	"GAPDH"	"glyceraldehyde-3-phosphate dehydrogenase"
"13701"	"0.274"	"0.0009897"	"-5.80"	"-0.2492"	"-8.40e-01"	"TUBA1A"	"tubulin alpha 1a"
"152"	"0.273"	"0.0008666"	"-6.78"	"-0.2504"	"-1.32"	"ZNF445"	"zinc finger protein 445"
"20125"	"0.273"	"0.0008789"	"6.76"	"-0.2603"	"1.36"	"TAGLN3"	"transgelin 3"
"19947"	"0.273"	"0.0008806"	"-6.76"	"-0.2616"	"-1.36"	"STK17B"	"serine/threonine kinase 17b"
"14704"	"0.273"	"0.000884"	"6.76"	"-0.2643"	"2.40"	""	""
"1757"	"0.274"	"0.0010102"	"5.78"	"-0.2664"	"8.87e-01"	"PPP1R12C"	"protein phosphatase 1 regulatory subunit 12C"
"3236"	"0.274"	"0.0010121"	"5.78"	"-0.268"	"1.69"	"FOXE1"	"forkhead box E1"
"237"	"0.273"	"0.0008976"	"-6.73"	"-0.275"	"-1.26"	"ITCH"	"itchy E3 ubiquitin protein ligase"
"683"	"0.273"	"0.0009176"	"-6.70"	"-0.2904"	"-1.14"	"KLK11"	"kallikrein related peptidase 11"
"19622"	"0.274"	"0.0010441"	"-5.75"	"-0.294"	"-9.33e-01"	"MARCH3"	"membrane associated ring-CH-type finger 3"
"390"	"0.273"	"0.000923"	"-6.69"	"-0.2946"	"-1.51"	"GNAS"	"GNAS complex locus"
"10174"	"0.274"	"0.0010546"	"5.74"	"-0.3024"	"7.57e-01"	""	""
"2850"	"0.277"	"0.0011117"	"-5.68"	"-0.3468"	"-1.24"	"RPL9"	"ribosomal protein L9"
"6761"	"0.277"	"0.0011143"	"-5.68"	"-0.3487"	"-8.20e-01"	""	""
"15000"	"0.277"	"0.0011321"	"5.66"	"-0.3621"	"1.47"	"TMEM245"	"transmembrane protein 245"
"12061"	"0.274"	"0.0010498"	"6.52"	"-0.3858"	"1.01"	"ADCY5"	"adenylate cyclase 5"
"17255"	"0.277"	"0.0011699"	"5.63"	"-0.3898"	"1.11"	"TGFBR1"	"transforming growth factor beta receptor 1"
"1380"	"0.277"	"0.0010865"	"6.47"	"-0.4104"	"1.61"	"PRPSAP1"	"phosphoribosyl pyrophosphate synthetase associated protein 1"
"9615"	"0.277"	"0.0012127"	"-5.59"	"-0.4203"	"-7.00e-01"	""	""
"21060"	"0.277"	"0.0012359"	"-5.57"	"-0.4364"	"-1.11"	"SBF2"	"SET binding factor 2"
"20904"	"0.277"	"0.0012529"	"-5.55"	"-0.448"	"-7.07e-01"	"TMEM212"	"transmembrane protein 212"
"4599"	"0.277"	"0.0012649"	"-5.54"	"-0.4561"	"-2.76"	"RPS21"	"ribosomal protein S21"
"4339"	"0.277"	"0.0013273"	"5.49"	"-0.4971"	"7.37e-01"	"RAB11B"	"RAB11B, member RAS oncogene family"
"10623"	"0.277"	"0.0012691"	"6.26"	"-0.5233"	"1.04"	""	""
"2692"	"0.277"	"0.0012842"	"6.24"	"-0.532"	"1.08"	"B4GALT4"	"beta-1,4-galactosyltransferase 4"
"8309"	"0.277"	"0.001307"	"-6.22"	"-0.5449"	"-9.57e-01"	""	""
"5868"	"0.277"	"0.0013427"	"6.19"	"-0.5648"	"1.00"	"ZNF202"	"zinc finger protein 202"
"14305"	"0.277"	"0.0014404"	"5.41"	"-0.5671"	"6.83e-01"	"FOXK1"	"forkhead box K1"
"13753"	"0.277"	"0.0014413"	"-5.41"	"-0.5677"	"-8.77e-01"	"UNKL"	"unkempt family like zinc finger"
"5532"	"0.277"	"0.0013832"	"6.15"	"-0.5868"	"1.07"	"GNAS"	"GNAS complex locus"
"197"	"0.277"	"0.0014009"	"-6.13"	"-0.5962"	"-1.50"	"MRPL3"	"mitochondrial ribosomal protein L3"
"978"	"0.277"	"0.0014031"	"6.13"	"-0.5974"	"1.12"	"SIRT7"	"sirtuin 7"
"10825"	"0.277"	"0.0014174"	"-6.12"	"-0.605"	"-1.19"	""	""
"11686"	"0.277"	"0.0014222"	"-6.11"	"-0.6075"	"-1.49"	"RRAD"	"RRAD, Ras related glycolysis inhibitor and calcium channel regulator"
"2418"	"0.277"	"0.0014548"	"-6.08"	"-0.6244"	"-1.24"	"NEK4"	"NIMA related kinase 4"
"2268"	"0.277"	"0.0015424"	"-5.34"	"-0.626"	"-7.37e-01"	"NDUFB7"	"NADH:ubiquinone oxidoreductase subunit B7"
"17393"	"0.277"	"0.0015465"	"5.34"	"-0.6283"	"8.23e-01"	"ZNF503-AS2"	"ZNF503 antisense RNA 2"
"5164"	"0.277"	"0.001554"	"-5.33"	"-0.6324"	"-7.67e-01"	"NQO1"	"NAD(P)H quinone dehydrogenase 1"
"134"	"0.277"	"0.0014736"	"-6.06"	"-0.634"	"-1.30"	"ZNF205"	"zinc finger protein 205"
"16761"	"0.277"	"0.0015859"	"-5.31"	"-0.65"	"-7.10e-01"	"CAMK2N1"	"calcium/calmodulin dependent protein kinase II inhibitor 1"
"9454"	"0.277"	"0.0015336"	"6.01"	"-0.6639"	"9.30e-01"	"PIK3R1"	"phosphoinositide-3-kinase regulatory subunit 1"
"10729"	"0.277"	"0.0016146"	"5.29"	"-0.6655"	"9.27e-01"	"DLG4"	"discs large MAGUK scaffold protein 4"
"3037"	"0.277"	"0.0016247"	"-5.29"	"-0.6709"	"-7.63e-01"	"AP2M1"	"adaptor related protein complex 2 mu 1 subunit"
"5631"	"0.277"	"0.0015507"	"-6.00"	"-0.6723"	"-1.00"	"CHRNA4"	"cholinergic receptor nicotinic alpha 4 subunit"
"196"	"0.277"	"0.0015663"	"-5.99"	"-0.6798"	"-1.03"	"RSL24D1"	"ribosomal L24 domain containing 1"
"7667"	"0.277"	"0.0015743"	"5.98"	"-0.6837"	"1.02"	"ELP2"	"elongator acetyltransferase complex subunit 2"
"13962"	"0.277"	"0.0016773"	"-5.26"	"-0.6984"	"-7.33e-01"	"TFF1"	"trefoil factor 1"
"13811"	"0.277"	"0.0016842"	"5.25"	"-0.702"	"7.73e-01"	"ADM"	"adrenomedullin"
"15204"	"0.277"	"0.0016871"	"-5.25"	"-0.7035"	"-8.47e-01"	"ANP32E"	"acidic nuclear phosphoprotein 32 family member E"
"7694"	"0.277"	"0.0016896"	"5.25"	"-0.7048"	"8.53e-01"	"GRPR"	"gastrin releasing peptide receptor"
"1681"	"0.277"	"0.0017271"	"5.23"	"-0.7238"	"1.07"	"SCFD1"	"sec1 family domain containing 1"
"7851"	"0.277"	"0.0017115"	"-5.87"	"-0.747"	"-9.57e-01"	""	""
"19698"	"0.277"	"0.0017231"	"-5.86"	"-0.7522"	"-9.07e-01"	"AKAP10"	"A-kinase anchoring protein 10"
"19550"	"0.277"	"0.0017724"	"5.83"	"-0.7737"	"8.63e-01"	"CCDC33"	"coiled-coil domain containing 33"
"11045"	"0.277"	"0.0018787"	"5.14"	"-0.7971"	"8.83e-01"	"TUBB3"	"tubulin beta 3 class III"
"217"	"0.277"	"0.0018274"	"-5.79"	"-0.7972"	"-9.23e-01"	"FNTA"	"farnesyltransferase, CAAX box, alpha"
"15738"	"0.277"	"0.0019315"	"5.11"	"-0.8213"	"1.05"	"ARRDC1"	"arrestin domain containing 1"
"11526"	"0.277"	"0.0018916"	"-5.75"	"-0.8237"	"-9.40e-01"	"DNAJC27"	"DnaJ heat shock protein family (Hsp40) member C27"
"1830"	"0.277"	"0.0019059"	"5.74"	"-0.8296"	"8.63e-01"	"ADH1B"	"alcohol dehydrogenase 1B (class I), beta polypeptide"
"1296"	"0.277"	"0.0019089"	"-5.74"	"-0.8308"	"-1.33"	"TBC1D13"	"TBC1 domain family member 13"
"6032"	"0.277"	"0.0019224"	"5.73"	"-0.8362"	"9.70e-01"	"APOL3"	"apolipoprotein L3"
"5459"	"0.277"	"0.0019769"	"5.09"	"-0.8416"	"9.13e-01"	"ARID5B"	"AT-rich interaction domain 5B"
"305"	"0.277"	"0.0019388"	"5.72"	"-0.8428"	"9.30e-01"	"PIGM"	"phosphatidylinositol glycan anchor biosynthesis class M"
"703"	"0.277"	"0.001956"	"-5.71"	"-0.8496"	"-9.17e-01"	"CTSB"	"cathepsin B"
"6550"	"0.277"	"0.0020044"	"-5.08"	"-0.8537"	"-6.77e-01"	"SEC14L1"	"SEC14 like lipid binding 1"
"6308"	"0.277"	"0.0019721"	"-5.70"	"-0.856"	"-9.73e-01"	""	""
"5754"	"0.277"	"0.0020988"	"5.03"	"-0.8941"	"8.27e-01"	"PSORS1C2"	"psoriasis susceptibility 1 candidate 2"
"13724"	"0.277"	"0.0021142"	"-5.03"	"-0.9005"	"-7.83e-01"	"SLC29A2"	"solute carrier family 29 member 2"
"2678"	"0.277"	"0.0021019"	"5.62"	"-0.9056"	"1.16"	"AMBN"	"ameloblastin"
"8509"	"0.277"	"0.0021419"	"5.01"	"-0.9119"	"6.77e-01"	"HAAO"	"3-hydroxyanthranilate 3,4-dioxygenase"
"11558"	"0.277"	"0.0021438"	"5.01"	"-0.9127"	"7.20e-01"	"DLG1"	"discs large MAGUK scaffold protein 1"
"18793"	"0.277"	"0.0021455"	"-5.01"	"-0.9134"	"-1.03"	""	""
