"ID"	"adj.P.Val"	"P.Value"	"t"	"B"	"logFC"	"SPOT_ID"
"ENST00000378015_at"	"0.999"	"0.00026"	"4.2737666"	"-3.13"	"2.268597"	"ENST00000378015"
"ENST00000325914_at"	"0.999"	"0.00029"	"-4.2309335"	"-3.15"	"-1.3779108"	"ENST00000325914"
"ENST00000280187_at"	"0.999"	"0.000356"	"-4.1497211"	"-3.19"	"-1.7805489"	"ENST00000280187"
"ENST00000374916_at"	"0.999"	"0.000492"	"-4.0225068"	"-3.25"	"-0.6016615"	"ENST00000374916"
"ENST00000374919_at"	"0.999"	"0.000492"	"-4.0225068"	"-3.25"	"-0.6016615"	"ENST00000374919"
"ENST00000367670_at"	"0.999"	"0.000603"	"-3.9421478"	"-3.29"	"-0.9314278"	"ENST00000367670"
"ENST00000283441_at"	"0.999"	"0.000654"	"-3.9105862"	"-3.3"	"-1.5400858"	"ENST00000283441"
"ENST00000382769_at"	"0.999"	"0.000654"	"-3.9105862"	"-3.3"	"-1.5400858"	"ENST00000382769"
"ENST00000256458_at"	"0.999"	"0.000657"	"-3.9086776"	"-3.3"	"-0.8108202"	"ENST00000256458"
"ENST00000230053_at"	"0.999"	"0.000751"	"3.8553749"	"-3.33"	"1.5131452"	"ENST00000230053"
"ENST00000371928_at"	"0.999"	"0.000844"	"-3.8094415"	"-3.35"	"-1.2140343"	"ENST00000371928"
"ENST00000244709_at"	"0.999"	"0.001011"	"3.737233"	"-3.39"	"1.5030134"	"ENST00000244709"
"ENST00000248899_at"	"0.999"	"0.001085"	"3.7091753"	"-3.4"	"1.2081782"	"ENST00000248899"
"ENST00000005756_at"	"0.999"	"0.001101"	"3.7032702"	"-3.4"	"0.9737639"	"ENST00000005756"
"ENST00000356003_at"	"0.999"	"0.001148"	"3.6866577"	"-3.41"	"0.9685288"	"ENST00000356003"
"ENST00000359154_at"	"0.999"	"0.001148"	"3.6866577"	"-3.41"	"0.9685288"	"ENST00000359154"
"ENST00000379000_at"	"0.999"	"0.001148"	"3.6866577"	"-3.41"	"0.9685288"	"ENST00000379000"
"ENST00000361462_at"	"0.999"	"0.00117"	"-3.6792898"	"-3.42"	"-0.3936913"	"ENST00000361462"
"ENST00000361577_at"	"0.999"	"0.00117"	"-3.6792898"	"-3.42"	"-0.3936913"	"ENST00000361577"
"ENST00000382233_at"	"0.999"	"0.00117"	"-3.6792898"	"-3.42"	"-0.3936913"	"ENST00000382233"
"ENST00000253796_at"	"0.999"	"0.00122"	"-3.6624097"	"-3.42"	"-0.630855"	"ENST00000253796"
"ENST00000250241_at"	"0.999"	"0.001292"	"3.6394735"	"-3.44"	"0.3584082"	"ENST00000250241"
"ENST00000380583_at"	"0.999"	"0.001292"	"3.6394735"	"-3.44"	"0.3584082"	"ENST00000380583"
"ENST00000217429_at"	"0.999"	"0.001468"	"3.5883222"	"-3.46"	"1.4017077"	"ENST00000217429"
"ENST00000360116_at"	"0.999"	"0.001468"	"3.5883222"	"-3.46"	"1.4017077"	"ENST00000360116"
"ENST00000259060_at"	"0.999"	"0.001493"	"-3.5815557"	"-3.46"	"-1.5926614"	"ENST00000259060"
"ENST00000310343_at"	"0.999"	"0.001568"	"-3.5617989"	"-3.47"	"-1.3933282"	"ENST00000310343"
"ENST00000244069_at"	"0.999"	"0.001644"	"-3.5429183"	"-3.48"	"-2.3273127"	"ENST00000244069"
"ENST00000295228_at"	"0.999"	"0.001708"	"-3.5275042"	"-3.49"	"-0.6386556"	"ENST00000295228"
"ENST00000251250_at"	"0.999"	"0.001924"	"-3.4794712"	"-3.52"	"-0.2938141"	"ENST00000251250"
"ENST00000359842_at"	"0.999"	"0.002279"	"3.410933"	"-3.55"	"0.3294689"	"ENST00000359842"
"ENST00000367892_at"	"0.999"	"0.002279"	"3.410933"	"-3.55"	"0.3294689"	"ENST00000367892"
"ENST00000217800_at"	"0.999"	"0.002425"	"-3.3856465"	"-3.56"	"-0.4615773"	"ENST00000217800"
"ENST00000271854_at"	"0.999"	"0.002433"	"-3.3843129"	"-3.56"	"-1.5953199"	"ENST00000271854"
"ENST00000368553_at"	"0.999"	"0.002433"	"-3.3843129"	"-3.56"	"-1.5953199"	"ENST00000368553"
"ENST00000368559_at"	"0.999"	"0.002433"	"-3.3843129"	"-3.56"	"-1.5953199"	"ENST00000368559"
"ENST00000278505_at"	"0.999"	"0.00248"	"3.3766907"	"-3.57"	"0.4979207"	"ENST00000278505"
"ENST00000285362_at"	"0.999"	"0.002511"	"3.3715152"	"-3.57"	"1.0265693"	"ENST00000285362"
"ENST00000291458_at"	"0.999"	"0.00258"	"-3.3605936"	"-3.58"	"-0.7896359"	"ENST00000291458"
"ENST00000263089_at"	"0.999"	"0.002669"	"3.3467752"	"-3.58"	"0.7586518"	"ENST00000263089"
"ENST00000381638_at"	"0.999"	"0.002669"	"3.3467752"	"-3.58"	"0.7586518"	"ENST00000381638"
"ENST00000309930_at"	"0.999"	"0.002776"	"-3.3306899"	"-3.59"	"-1.5311561"	"ENST00000309930"
"ENST00000341449_at"	"0.999"	"0.002797"	"3.3276248"	"-3.59"	"0.85"	"ENST00000341449"
"ENST00000272430_at"	"0.999"	"0.002805"	"-3.3264125"	"-3.59"	"-1.4409528"	"ENST00000272430"
"ENST00000269967_at"	"0.999"	"0.002898"	"3.313073"	"-3.6"	"0.868104"	"ENST00000269967"
"ENST00000378943_at"	"0.999"	"0.002943"	"3.3067979"	"-3.6"	"1.6707362"	"ENST00000378943"
"ENST00000378945_at"	"0.999"	"0.002943"	"3.3067979"	"-3.6"	"1.6707362"	"ENST00000378945"
"ENST00000378946_at"	"0.999"	"0.002943"	"3.3067979"	"-3.6"	"1.6707362"	"ENST00000378946"
"ENST00000378948_at"	"0.999"	"0.002943"	"3.3067979"	"-3.6"	"1.6707362"	"ENST00000378948"
"ENST00000317571_at"	"0.999"	"0.002944"	"-3.3067215"	"-3.6"	"-1.7445146"	"ENST00000317571"
"ENST00000263205_at"	"0.999"	"0.003125"	"-3.282262"	"-3.61"	"-0.4662917"	"ENST00000263205"
"ENST00000292733_at"	"0.999"	"0.003125"	"-3.282262"	"-3.61"	"-0.4662917"	"ENST00000292733"
"ENST00000382974_at"	"0.999"	"0.003125"	"-3.282262"	"-3.61"	"-0.4662917"	"ENST00000382974"
"ENST00000337743_at"	"0.999"	"0.00323"	"-3.2687064"	"-3.62"	"-0.43825"	"ENST00000337743"
"ENST00000378157_at"	"0.999"	"0.00323"	"-3.2687064"	"-3.62"	"-0.43825"	"ENST00000378157"
"ENST00000376087_at"	"0.999"	"0.003331"	"-3.2561103"	"-3.63"	"-0.7805263"	"ENST00000376087"
"ENST00000252669_at"	"0.999"	"0.00349"	"3.23704"	"-3.64"	"1.1519759"	"ENST00000252669"
"ENST00000338231_at"	"0.999"	"0.003501"	"3.2356703"	"-3.64"	"1.1781256"	"ENST00000338231"
"ENST00000297990_at"	"0.999"	"0.003515"	"-3.2340267"	"-3.64"	"-0.8804383"	"ENST00000297990"
"ENST00000353159_at"	"0.999"	"0.003515"	"-3.2340267"	"-3.64"	"-0.8804383"	"ENST00000353159"
