"ID"	"adj.P.Val"	"P.Value"	"t"	"B"	"logFC"	"Gene.symbol"	"Gene.title"
"8016099"	"0.565"	"0.0000503"	"-6.63"	"0.6349"	"-7.71e-01"	"EFTUD2"	"elongation factor Tu GTP binding domain containing 2"
"7894421"	"0.565"	"0.0000572"	"-6.53"	"0.5718"	"-8.19e-01"	""	""
"7896063"	"0.565"	"0.0000593"	"-6.50"	"0.5538"	"-1.21"	""	""
"8105144"	"0.565"	"0.0000852"	"-6.23"	"0.3718"	"-9.29e-01"	""	""
"7996805"	"0.565"	"0.0001058"	"-6.07"	"0.2601"	"-7.65e-01"	""	""
"7894555"	"0.565"	"0.0001778"	"-5.69"	"-0.0168"	"-1.08"	""	""
"8010766"	"0.565"	"0.0001948"	"-5.63"	"-0.067"	"-1.61"	""	""
"7982957"	"0.565"	"0.0001966"	"-5.62"	"-0.072"	"-5.41e-01"	"MGA"	"MGA, MAX dimerization protein"
"7895758"	"0.565"	"0.0002089"	"-5.58"	"-0.1054"	"-5.67e-01"	""	""
"7896185"	"0.565"	"0.0002094"	"-5.58"	"-0.1067"	"-6.45e-01"	""	""
"8022320"	"0.565"	"0.0002369"	"-5.49"	"-0.1754"	"-5.51e-01"	"NPIPB9///NPIPB5///NPIPB6///NPIPB3"	"nuclear pore complex interacting protein family member B9///nuclear pore complex interacting protein family member B5///nuclear pore complex interacting protein family member B6///nuclear pore complex interacting protein family member B3"
"7895398"	"0.565"	"0.0002511"	"-5.45"	"-0.2082"	"-3.98e-01"	""	""
"7894489"	"0.565"	"0.0002904"	"-5.35"	"-0.2903"	"-1.37"	""	""
"8099850"	"0.565"	"0.0002924"	"5.35"	"-0.2942"	"7.05e-01"	"TMEM156"	"transmembrane protein 156"
"7942781"	"0.565"	"0.0003"	"-5.33"	"-0.3088"	"-9.97e-01"	""	""
"7893876"	"0.565"	"0.000317"	"-5.29"	"-0.3404"	"-6.18e-01"	""	""
"7894803"	"0.565"	"0.0003188"	"-5.29"	"-0.3436"	"-8.37e-01"	""	""
"8167797"	"0.565"	"0.0003239"	"-5.28"	"-0.3528"	"-6.75e-01"	"GNL3L"	"G protein nucleolar 3 like"
"8063408"	"0.565"	"0.0003287"	"-5.27"	"-0.3613"	"-1.04"	""	""
"7895395"	"0.565"	"0.0003663"	"-5.19"	"-0.4237"	"-1.28"	""	""
"7911176"	"0.565"	"0.0004758"	"-5.02"	"-0.577"	"-1.35"	""	""
"7894022"	"0.565"	"0.0005119"	"-4.97"	"-0.6203"	"-1.07"	""	""
"7892969"	"0.565"	"0.0005413"	"-4.93"	"-0.6536"	"-3.68e-01"	""	""
"7980547"	"0.565"	"0.0005545"	"-4.92"	"-0.6679"	"-4.70e-01"	"SEL1L"	"SEL1L ERAD E3 ligase adaptor subunit"
"7948399"	"0.565"	"0.0005584"	"-4.91"	"-0.6722"	"-5.00e-01"	"PATL1"	"PAT1 homolog 1, processing body mRNA decay factor"
"7893009"	"0.565"	"0.0005683"	"-4.90"	"-0.6827"	"-7.23e-01"	""	""
"7894794"	"0.565"	"0.0005684"	"-4.90"	"-0.6828"	"-9.71e-01"	""	""
"8132343"	"0.565"	"0.0005921"	"-4.87"	"-0.7073"	"-1.17"	""	""
"8031566"	"0.565"	"0.0005935"	"-4.87"	"-0.7088"	"-9.88e-01"	""	""
"8124940"	"0.565"	"0.000603"	"-4.86"	"-0.7183"	"-1.52"	"SNORD117"	"small nucleolar RNA, C/D box 117"
"8161238"	"0.565"	"0.0006055"	"-4.86"	"-0.7208"	"-4.34e-01"	"RAB1C"	"RAB1C, member RAS oncogene family pseudogene"
"8161857"	"0.565"	"0.0006304"	"4.83"	"-0.7451"	"6.24e-01"	"RFK"	"riboflavin kinase"
"7997852"	"0.565"	"0.0007091"	"4.76"	"-0.8164"	"9.24e-01"	"TRAPPC2L"	"trafficking protein particle complex 2 like"
"7972932"	"0.565"	"0.0007355"	"-4.73"	"-0.8388"	"-6.01e-01"	"GAS6-AS1///GAS6-AS1"	"GAS6 antisense RNA 1///GAS6 antisense RNA 1"
"8065089"	"0.565"	"0.000739"	"-4.73"	"-0.8416"	"-5.22e-01"	"KIF16B"	"kinesin family member 16B"
"7908097"	"0.565"	"0.0007452"	"-4.72"	"-0.8467"	"-4.62e-01"	"SMG7"	"SMG7, nonsense mediated mRNA decay factor"
"7895414"	"0.565"	"0.0007766"	"-4.70"	"-0.872"	"-6.68e-01"	""	""
"7894207"	"0.565"	"0.0007783"	"-4.70"	"-0.8733"	"-3.76e-01"	""	""
"7892582"	"0.565"	"0.0007842"	"-4.69"	"-0.878"	"-3.32e-01"	""	""
"7895981"	"0.565"	"0.0008081"	"-4.67"	"-0.8964"	"-1.44"	""	""
"8173428"	"0.565"	"0.0008087"	"-4.67"	"-0.8969"	"-1.02"	""	""
"7912086"	"0.565"	"0.0008338"	"-4.65"	"-0.9157"	"-6.83e-01"	"NOL9"	"nucleolar protein 9"
"7894912"	"0.565"	"0.0008439"	"-4.64"	"-0.9231"	"-1.13"	""	""
"7916443"	"0.565"	"0.0008454"	"-4.64"	"-0.9242"	"-5.23e-01"	"USP24"	"ubiquitin specific peptidase 24"
"8011141"	"0.565"	"0.0008471"	"-4.64"	"-0.9254"	"-5.42e-01"	"PRPF8///PRPF8"	"pre-mRNA processing factor 8///pre-mRNA processing factor 8"
"8077815"	"0.565"	"0.0008504"	"-4.64"	"-0.9278"	"-1.03"	"LINC00852"	"long intergenic non-protein coding RNA 852"
"7895053"	"0.565"	"0.0008555"	"-4.63"	"-0.9315"	"-7.41e-01"	""	""
"7894408"	"0.565"	"0.0008624"	"-4.63"	"-0.9365"	"-8.73e-01"	""	""
"7896508"	"0.565"	"0.0009091"	"-4.60"	"-0.9691"	"-9.44e-01"	""	""
"8169659"	"0.565"	"0.0009111"	"4.59"	"-0.9705"	"9.36e-01"	"NDUFA1"	"NADH:ubiquinone oxidoreductase subunit A1"
"7894464"	"0.565"	"0.00097"	"-4.55"	"-1.0094"	"-4.42e-01"	""	""
"7895759"	"0.565"	"0.0009838"	"-4.55"	"-1.0181"	"-9.00e-01"	""	""
"8137863"	"0.565"	"0.0010186"	"-4.52"	"-1.0398"	"-1.19"	""	""
"8068974"	"0.565"	"0.001029"	"-4.52"	"-1.0462"	"-3.76e-01"	"TRAPPC10"	"trafficking protein particle complex 10"
"8070257"	"0.565"	"0.0010548"	"4.50"	"-1.0617"	"3.93e-01"	"PIGP"	"phosphatidylinositol glycan anchor biosynthesis class P"
"8169676"	"0.565"	"0.0010697"	"-4.49"	"-1.0705"	"-5.67e-01"	"RHOXF2B///RHOXF2"	"Rhox homeobox family member 2B///Rhox homeobox family member 2"
"7896183"	"0.565"	"0.001072"	"-4.49"	"-1.0718"	"-3.64e-01"	""	""
"7948814"	"0.565"	"0.001099"	"-4.48"	"-1.0874"	"-3.68e-01"	"HNRNPUL2-BSCL2///HNRNPUL2"	"HNRNPUL2-BSCL2 readthrough (NMD candidate)///heterogeneous nuclear ribonucleoprotein U like 2"
"7899087"	"0.565"	"0.0011169"	"4.47"	"-1.0975"	"7.42e-01"	"PDIK1L"	"PDLIM1 interacting kinase 1 like"
"8084232"	"0.565"	"0.0011225"	"-4.46"	"-1.1007"	"-3.74e-01"	"YEATS2"	"YEATS domain containing 2"
"8078300"	"0.565"	"0.001132"	"4.46"	"-1.1059"	"5.65e-01"	"OXSM"	"3-oxoacyl-ACP synthase, mitochondrial"
"7893356"	"0.565"	"0.0011474"	"-4.45"	"-1.1144"	"-5.23e-01"	""	""
"7895610"	"0.565"	"0.0011618"	"4.44"	"-1.1223"	"6.13e-01"	""	""
"8073585"	"0.565"	"0.0011773"	"-4.43"	"-1.1307"	"-4.17e-01"	"SERHL2///SERHL"	"serine hydrolase-like 2///serine hydrolase-like (pseudogene)"
"8009792"	"0.565"	"0.0011885"	"-4.43"	"-1.1366"	"-9.63e-01"	""	""
"7892620"	"0.565"	"0.0012073"	"-4.42"	"-1.1466"	"-8.27e-01"	""	""
