"ID"	"adj.P.Val"	"P.Value"	"F"	"Gene.symbol"	"Gene.title"
"7893653"	"0.00124"	"3.75e-08"	"43.7021"	""	""
"8174592"	"0.00855"	"5.19e-07"	"29.1858"	""	""
"8172717"	"0.10384"	"9.45e-06"	"18.2791"	""	""
"8048595"	"0.10524"	"1.28e-05"	"17.3804"	"GMPPA"	"GDP-mannose pyrophosphorylase A"
"7893995"	"0.16442"	"2.49e-05"	"15.5123"	""	""
"8171535"	"0.16442"	"3.23e-05"	"14.8396"	""	""
"8061138"	"0.16442"	"4.01e-05"	"14.2875"	"PET117///KAT14"	"PET117 homolog///lysine acetyltransferase 14"
"7922200"	"0.16442"	"4.73e-05"	"13.8808"	"SELP"	"selectin P"
"8043360"	"0.16442"	"5.66e-05"	"13.4504"	"IGK///IGKC"	"immunoglobulin kappa locus///immunoglobulin kappa constant"
"8078397"	"0.16442"	"5.75e-05"	"13.4117"	"CMTM8"	"CKLF like MARVEL transmembrane domain containing 8"
"8082442"	"0.16442"	"6.99e-05"	"12.9574"	""	""
"7958207"	"0.16442"	"7.07e-05"	"12.931"	""	""
"7895163"	"0.16442"	"7.57e-05"	"12.7717"	""	""
"8165856"	"0.16442"	"7.64e-05"	"12.753"	""	""
"7920382"	"0.16442"	"7.78e-05"	"12.7097"	"CRTC2"	"CREB regulated transcription coactivator 2"
"7893290"	"0.16442"	"7.98e-05"	"12.6532"	""	""
"8130499"	"0.17586"	"9.37e-05"	"12.2934"	"DYNLT1"	"dynein light chain Tctex-type 1"
"8158597"	"0.17586"	"9.60e-05"	"12.2393"	"GPR107"	"G protein-coupled receptor 107"
"8043433"	"0.18766"	"1.14e-04"	"11.8636"	"IGKC"	"immunoglobulin kappa constant"
"7958439"	"0.18766"	"1.15e-04"	"11.8388"	"USP30"	"ubiquitin specific peptidase 30"
"7923753"	"0.18766"	"1.32e-04"	"11.5586"	"NUAK2"	"NUAK family kinase 2"
"7892990"	"0.18766"	"1.35e-04"	"11.5099"	""	""
"8125463"	"0.18766"	"1.35e-04"	"11.4972"	"HLA-DQB2///HLA-DQB1"	"major histocompatibility complex, class II, DQ beta 2///major histocompatibility complex, class II, DQ beta 1"
"7952022"	"0.18766"	"1.37e-04"	"11.4796"	"JAML"	"junction adhesion molecule like"
"8084232"	"0.19477"	"1.48e-04"	"11.3165"	"YEATS2"	"YEATS domain containing 2"
"8071061"	"0.19634"	"1.61e-04"	"11.1339"	"TPTEP1"	"transmembrane phosphatase with tensin homology pseudogene 1"
"7895913"	"0.19634"	"1.64e-04"	"11.0983"	""	""
"8154868"	"0.19634"	"1.70e-04"	"11.0251"	""	""
"8104139"	"0.19634"	"1.73e-04"	"10.9946"	"LOC389834"	"ankyrin repeat domain 57 pseudogene"
"7892952"	"0.20006"	"1.82e-04"	"10.8878"	""	""
"7894616"	"0.20154"	"1.95e-04"	"10.7518"	""	""
"8168303"	"0.20154"	"1.96e-04"	"10.7365"	"TAF1"	"TATA-box binding protein associated factor 1"
"7895577"	"0.20154"	"2.06e-04"	"10.6448"	""	""
"8131374"	"0.20154"	"2.08e-04"	"10.6225"	"AIMP2///EIF2AK1"	"aminoacyl tRNA synthetase complex interacting multifunctional protein 2///eukaryotic translation initiation factor 2 alpha kinase 1"
"7892565"	"0.20348"	"2.16e-04"	"10.5461"	""	""
"8091809"	"0.21334"	"2.39e-04"	"10.3474"	""	""
"7981730"	"0.21334"	"2.39e-04"	"10.3445"	"SCFV///IGLJ3///IGHV3-23///IGHV4-31///IGHM///IGHG2///IGHG1///IGHA1///SCFV///C14orf99///IGK///IGKV3-20///IGHV3-23///IGHV3-30///IGHV3-48///IGHV3-75///IGHV3-69-1///IGHV3OR16-7"	"single-chain Fv fragment///immunoglobulin lambda joining 3///immunoglobulin heavy variable 3-23///immunoglobulin heavy variable 4-31///immunoglobulin heavy constant mu///immunoglobulin heavy constant gamma 2 (G2m marker)///immunoglobulin heavy constant gamma 1 (G1m marker)///immunoglobulin heavy constant alpha 1///single-chain Fv fragment///uncharacterized LOC317730///immunoglobulin kappa locus///immunoglobulin kappa variable 3-20///immunoglobulin heavy variable 3-23///immunoglobulin heavy variable 3-30///immunoglobulin heavy variable 3-48///immunoglobulin heavy variable 3-75 (pseudogene)///immunoglobulin heavy variable 3-69-1 (pseudogene)///immunoglobulin heavy variable 3/OR16-7 (pseudogene)"
"7895802"	"0.21597"	"2.57e-04"	"10.2054"	""	""
"7894178"	"0.21597"	"2.61e-04"	"10.1748"	""	""
"8054758"	"0.21597"	"2.62e-04"	"10.1701"	"DDX11L9///DDX11L5///DDX11L1///DDX11L10///DDX11L16///DDX11L2///DDX11L5"	"DEAD/H-box helicase 11 like 9///DEAD/H-box helicase 11 like 5///DEAD/H-box helicase 11 like 1///DEAD/H-box helicase 11 like 10///DEAD/H-box helicase 11 like 16///DEAD/H-box helicase 11 like 2///DEAD/H-box helicase 11 like 5"
"7975455"	"0.2361"	"2.97e-04"	"9.9313"	""	""
"8118556"	"0.2361"	"3.20e-04"	"9.7903"	"HLA-DQA1"	"major histocompatibility complex, class II, DQ alpha 1"
"8053690"	"0.2361"	"3.24e-04"	"9.7709"	""	""
"7895695"	"0.2361"	"3.31e-04"	"9.7306"	""	""
"7895598"	"0.2361"	"3.43e-04"	"9.6607"	""	""
"8165709"	"0.2361"	"3.49e-04"	"9.629"	""	""
"7937940"	"0.2361"	"3.53e-04"	"9.6105"	"OR52K3P"	"olfactory receptor family 52 subfamily K member 3 pseudogene"
"7904394"	"0.2361"	"3.64e-04"	"9.5528"	""	""
"7893356"	"0.2361"	"3.69e-04"	"9.5268"	""	""
"8066343"	"0.2361"	"3.86e-04"	"9.443"	""	""
"8166999"	"0.2361"	"3.92e-04"	"9.4154"	"CHST7"	"carbohydrate sulfotransferase 7"
"8083144"	"0.2361"	"3.95e-04"	"9.4041"	""	""
"8163614"	"0.2361"	"3.95e-04"	"9.4035"	""	""
"7948332"	"0.2361"	"4.08e-04"	"9.3451"	"LPXN"	"leupaxin"
"7959563"	"0.2361"	"4.11e-04"	"9.3317"	"C12orf65"	"chromosome 12 open reading frame 65"
"7893109"	"0.2361"	"4.15e-04"	"9.3145"	""	""
"7894768"	"0.2361"	"4.17e-04"	"9.3039"	""	""
"8003953"	"0.2361"	"4.18e-04"	"9.3"	"PSMB6"	"proteasome subunit beta 6"
"8109843"	"0.2361"	"4.23e-04"	"9.2817"	"DOCK2"	"dedicator of cytokinesis 2"
"8050423"	"0.23772"	"4.35e-04"	"9.2275"	"MYCNOS"	"MYCN opposite strand"
"8165705"	"0.23772"	"4.41e-04"	"9.203"	""	""
"7895981"	"0.23772"	"4.52e-04"	"9.1595"	""	""
"7894096"	"0.23772"	"4.64e-04"	"9.1141"	""	""
"8006170"	"0.23772"	"4.70e-04"	"9.0919"	"LOC107133515///LRRC37BP1///LRRC37B"	"SMURF2P1-LRRC37BP1 readthrough transcribed pseudogene///leucine rich repeat containing 37B pseudogene 1///leucine rich repeat containing 37B"
"7929052"	"0.23772"	"4.73e-04"	"9.0794"	"IFIT3"	"interferon induced protein with tetratricopeptide repeats 3"
"8043476"	"0.23772"	"4.78e-04"	"9.063"	""	""
"7905365"	"0.23772"	"4.88e-04"	"9.0236"	"PIP5K1A"	"phosphatidylinositol-4-phosphate 5-kinase type 1 alpha"
"8093112"	"0.23772"	"4.94e-04"	"9.0042"	"UBXN7"	"UBX domain protein 7"
"8043431"	"0.23772"	"4.98e-04"	"8.991"	"IGKC"	"immunoglobulin kappa constant"
"8026533"	"0.25056"	"5.32e-04"	"8.8736"	"HSH2D"	"hematopoietic SH2 domain containing"
"8166511"	"0.25707"	"5.54e-04"	"8.8044"	"PDK3"	"pyruvate dehydrogenase kinase 3"
"7981724"	"0.25755"	"5.74e-04"	"8.7425"	"SCFV///IGLJ3///IGHM///IGHG1///IGHD///C14orf99///IGHV3-48///IGHV3-69-1"	"single-chain Fv fragment///immunoglobulin lambda joining 3///immunoglobulin heavy constant mu///immunoglobulin heavy constant gamma 1 (G1m marker)///immunoglobulin heavy constant delta///uncharacterized LOC317730///immunoglobulin heavy variable 3-48///immunoglobulin heavy variable 3-69-1 (pseudogene)"
"7960544"	"0.25755"	"5.80e-04"	"8.7254"	"VAMP1"	"vesicle associated membrane protein 1"
"7899153"	"0.25755"	"5.82e-04"	"8.7188"	"SH3BGRL3"	"SH3 domain binding glutamate rich protein like 3"
"8164781"	"0.25755"	"5.86e-04"	"8.7066"	"TSC1"	"tuberous sclerosis 1"
"8005638"	"0.26084"	"6.01e-04"	"8.662"	"ALDH3A2"	"aldehyde dehydrogenase 3 family member A2"
"8149273"	"0.26262"	"6.16e-04"	"8.6206"	""	""
"7919168"	"0.26262"	"6.29e-04"	"8.5859"	"LOC100996724///PDE4DIP"	"phosphodiesterase 4D interacting protein-like///phosphodiesterase 4D interacting protein"
"8165663"	"0.26262"	"6.29e-04"	"8.5842"	""	""
