"ID"	"adj.P.Val"	"P.Value"	"F"	"Gene.symbol"	"Gene.title"
"ILMN_1711807"	"0.995"	"0.00003"	"9.26157"	"ADGRL3"	"adhesion G protein-coupled receptor L3"
"ILMN_3225402"	"0.995"	"0.000117"	"7.77543"	""	""
"ILMN_1724609"	"0.995"	"0.000128"	"7.68507"	"SLC2A8"	"solute carrier family 2 member 8"
"ILMN_1724017"	"0.995"	"0.000167"	"7.40822"	""	""
"ILMN_1801307"	"0.995"	"0.000203"	"7.21167"	"TNFSF10"	"tumor necrosis factor superfamily member 10"
"ILMN_1796484"	"0.995"	"0.00031"	"6.79472"	""	""
"ILMN_3239087"	"0.995"	"0.000366"	"6.6365"	""	""
"ILMN_2327994"	"0.995"	"0.000394"	"6.56575"	"AZIN1"	"antizyme inhibitor 1"
"ILMN_1776678"	"0.995"	"0.000397"	"6.55671"	"GIMAP7"	"GTPase, IMAP family member 7"
"ILMN_1716967"	"0.995"	"0.000484"	"6.36821"	"RNASE8"	"ribonuclease A family member 8"
"ILMN_1773413"	"0.995"	"0.000519"	"6.30346"	"DOCK9"	"dedicator of cytokinesis 9"
"ILMN_3187848"	"0.995"	"0.000527"	"6.28879"	""	""
"ILMN_1712075"	"0.995"	"0.00057"	"6.21546"	"SYNM"	"synemin"
"ILMN_1828225"	"0.995"	"0.000579"	"6.20088"	""	""
"ILMN_1790881"	"0.995"	"0.000584"	"6.1935"	"HNMT"	"histamine N-methyltransferase"
"ILMN_1690806"	"0.995"	"0.000734"	"5.98163"	"HACD2"	"3-hydroxyacyl-CoA dehydratase 2"
"ILMN_1805543"	"0.995"	"0.000773"	"5.93446"	"ADAMTS9"	"ADAM metallopeptidase with thrombospondin type 1 motif 9"
"ILMN_3251440"	"0.995"	"0.000817"	"5.88377"	"PIK3C2A"	"phosphatidylinositol-4-phosphate 3-kinase catalytic subunit type 2 alpha"
"ILMN_3267017"	"0.995"	"0.000819"	"5.88162"	""	""
"ILMN_1671123"	"0.995"	"0.000831"	"5.86801"	""	""
"ILMN_1751453"	"0.995"	"0.000904"	"5.79183"	"ABCC9"	"ATP binding cassette subfamily C member 9"
"ILMN_2298888"	"0.995"	"0.000976"	"5.72233"	"NRG1"	"neuregulin 1"
"ILMN_2339627"	"0.995"	"0.001032"	"5.67266"	"COPE"	"coatomer protein complex subunit epsilon"
"ILMN_1772689"	"0.995"	"0.001077"	"5.63371"	""	""
"ILMN_1659905"	"0.995"	"0.00109"	"5.62305"	"FKBP10"	"FK506 binding protein 10"
"ILMN_1743145"	"0.995"	"0.001116"	"5.60211"	"ERAP2"	"endoplasmic reticulum aminopeptidase 2"
"ILMN_1706140"	"0.995"	"0.001128"	"5.59287"	"PAGE2B"	"PAGE family member 2B"
"ILMN_2172174"	"0.995"	"0.001147"	"5.57797"	"PNP"	"purine nucleoside phosphorylase"
"ILMN_2098013"	"0.995"	"0.001157"	"5.57009"	"CETP"	"cholesteryl ester transfer protein"
"ILMN_1714523"	"0.995"	"0.001161"	"5.56682"	"HEPH"	"hephaestin"
"ILMN_1703102"	"0.995"	"0.001166"	"5.56341"	""	""
"ILMN_1756685"	"0.995"	"0.001202"	"5.53646"	"DEPTOR"	"DEP domain containing MTOR-interacting protein"
"ILMN_3191393"	"0.995"	"0.001214"	"5.52701"	""	""
"ILMN_1754533"	"0.995"	"0.001238"	"5.51014"	""	""
"ILMN_3309309"	"0.995"	"0.001257"	"5.49618"	"MIR1302-4"	"microRNA 1302-4"
"ILMN_2053103"	"0.995"	"0.001363"	"5.42478"	"SLC40A1"	"solute carrier family 40 member 1"
"ILMN_1762255"	"0.995"	"0.001414"	"5.39233"	"GSTM1"	"glutathione S-transferase mu 1"
"ILMN_1866708"	"0.995"	"0.001456"	"5.36703"	""	""
"ILMN_1714023"	"0.995"	"0.001569"	"5.30138"	"SLC9A5"	"solute carrier family 9 member A5"
"ILMN_1761833"	"0.995"	"0.001598"	"5.28525"	"SLC40A1"	"solute carrier family 40 member 1"
"ILMN_3286751"	"0.995"	"0.001633"	"5.26637"	"LOC284648"	"uncharacterized LOC284648"
"ILMN_3258955"	"0.995"	"0.00165"	"5.25782"	"COL6A5"	"collagen type VI alpha 5 chain"
"ILMN_1801090"	"0.995"	"0.001667"	"5.24882"	"KRT222"	"keratin 222"
"ILMN_2156982"	"0.995"	"0.001675"	"5.24466"	"IMP4"	"IMP4 homolog, U3 small nucleolar ribonucleoprotein"
"ILMN_3245270"	"0.995"	"0.001762"	"5.20051"	"KCNJ18"	"potassium voltage-gated channel subfamily J member 18"
