"ID"	"adj.P.Val"	"P.Value"	"t"	"B"	"logFC"	"Gene.symbol"	"Gene.title"
"7897378"	"9.10e-08"	"3.15e-12"	"9.96953474"	"16.74441"	"1.10"	"PER3"	"period circadian clock 3"
"8012349"	"7.20e-07"	"4.99e-11"	"9.00882117"	"14.35452"	"1.40"	"PER1"	"period circadian clock 1"
"7905154"	"3.87e-06"	"4.03e-10"	"8.30771489"	"12.52005"	"1.58"	"CIART"	"circadian associated repressor of transcription"
"8025402"	"2.66e-05"	"3.69e-09"	"-7.58282742"	"10.54987"	"-1.35"	"ANGPTL4"	"angiopoietin like 4"
"7961891"	"5.99e-05"	"1.21e-08"	"7.20018651"	"9.48331"	"7.96e-01"	"BHLHE41"	"basic helix-loop-helix family member e41"
"8040340"	"5.99e-05"	"1.42e-08"	"-7.14933381"	"9.34034"	"-6.90e-01"	"LPIN1"	"lipin 1"
"8141094"	"5.99e-05"	"1.45e-08"	"-7.14261169"	"9.32143"	"-1.93"	"PDK4"	"pyruvate dehydrogenase kinase 4"
"8082846"	"1.46e-04"	"4.05e-08"	"6.81612067"	"8.39724"	"6.14e-01"	"EPHB1"	"EPH receptor B1"
"7902227"	"2.31e-04"	"7.52e-08"	"-6.62061874"	"7.83935"	"-1.03"	"GADD45A"	"growth arrest and DNA damage inducible alpha"
"7905789"	"2.31e-04"	"8.00e-08"	"-6.60090546"	"7.78294"	"-9.96e-01"	"IL6R"	"interleukin 6 receptor"
"8038117"	"2.48e-04"	"9.45e-08"	"6.54814228"	"7.63179"	"6.55e-01"	"DBP"	"D-box binding PAR bZIP transcription factor"
"8142096"	"2.89e-04"	"1.20e-07"	"-6.4720824"	"7.41358"	"-5.99e-01"	"ATXN7L1"	"ataxin 7 like 1"
"7903586"	"4.12e-04"	"2.05e-07"	"-6.30476075"	"6.9323"	"-3.36e-01"	"TMEM167B"	"transmembrane protein 167B"
"8039905"	"4.12e-04"	"2.05e-07"	"-6.30476075"	"6.9323"	"-3.36e-01"	"TMEM167B"	"transmembrane protein 167B"
"8078272"	"4.12e-04"	"2.14e-07"	"6.2902229"	"6.89041"	"6.69e-01"	"NR1D2"	"nuclear receptor subfamily 1 group D member 2"
"8047487"	"4.64e-04"	"2.66e-07"	"6.22161046"	"6.69257"	"6.22e-01"	"FZD7"	"frizzled class receptor 7"
"8087224"	"4.64e-04"	"2.73e-07"	"-6.213882"	"6.67027"	"-6.43e-01"	"SLC25A20"	"solute carrier family 25 member 20"
"8092169"	"5.32e-04"	"3.49e-07"	"-6.13664993"	"6.44731"	"-6.16e-01"	"TNFSF10"	"tumor necrosis factor superfamily member 10"
"7916219"	"5.32e-04"	"3.50e-07"	"-6.13578871"	"6.44482"	"-5.69e-01"	"COA7"	"cytochrome c oxidase assembly factor 7 (putative)"
"7949971"	"5.32e-04"	"3.69e-07"	"-6.1195353"	"6.39787"	"-6.47e-01"	"CPT1A"	"carnitine palmitoyltransferase 1A"
"8059387"	"5.95e-04"	"4.33e-07"	"-6.06889643"	"6.25152"	"-4.36e-01"	"FAM124B"	"family with sequence similarity 124 member B"
"8054486"	"6.38e-04"	"4.86e-07"	"6.03250697"	"6.1463"	"5.21e-01"	"NPHP1"	"nephrocystin 1"
"8069553"	"6.91e-04"	"5.50e-07"	"-5.99355078"	"6.03362"	"-5.49e-01"	"NRIP1"	"nuclear receptor interacting protein 1"
"8162276"	"7.47e-04"	"6.36e-07"	"-5.94815196"	"5.90225"	"-9.84e-01"	"NFIL3"	"nuclear factor, interleukin 3 regulated"
"8043995"	"7.47e-04"	"6.66e-07"	"-5.93351561"	"5.85989"	"-7.81e-01"	"IL1R1"	"interleukin 1 receptor type 1"
"8052798"	"7.47e-04"	"6.73e-07"	"-5.93045032"	"5.85102"	"-5.75e-01"	"AAK1"	"AP2 associated kinase 1"
