"ID"	"adj.P.Val"	"P.Value"	"t"	"B"	"logFC"	"Gene.symbol"	"Gene.title"
"ID4237"	"0.00132"	"1.04e-07"	"-9.2828434"	"7.82919"	"-2.15"	""	""
"ID7611"	"0.00132"	"1.96e-07"	"8.843265"	"7.27276"	"2.63"	"FRY"	"furry homolog (Drosophila)"
"ID12815"	"0.00132"	"2.49e-07"	"-8.682987"	"7.06328"	"-2.21"	"BUB1B"	"BUB1 budding uninhibited by benzimidazoles 1 homolog beta (yeast)"
"ID15819"	"0.00132"	"3.55e-07"	"8.4459633"	"6.74683"	"2.51"	"FRY"	"furry homolog (Drosophila)"
"ID14640"	"0.00132"	"4.03e-07"	"-8.3629954"	"6.63417"	"-2.08"	"RAD51AP1"	"RAD51 associated protein 1"
"ID15252"	"0.00146"	"5.97e-07"	"-8.1090098"	"6.28303"	"-1.64"	""	""
"ID7803"	"0.00146"	"6.34e-07"	"-8.07027"	"6.22863"	"-2.25"	"BCAT1"	"branched chain aminotransferase 1, cytosolic"
"ID1241"	"0.00146"	"7.10e-07"	"7.9984266"	"6.12717"	"4.02"	""	""
"ID4608"	"0.00157"	"8.58e-07"	"-7.8789408"	"5.95671"	"-1.80"	"PRC1"	"protein regulator of cytokinesis 1"
"ID9449"	"0.00168"	"1.06e-06"	"7.747855"	"5.76723"	"4.01"	""	""
"ID15980"	"0.00168"	"1.31e-06"	"7.6136186"	"5.57049"	"1.30"	"NBEA"	"neurobeachin"
"ID7787"	"0.00168"	"1.33e-06"	"-7.607351"	"5.56123"	"-2.13"	""	""
"ID9597"	"0.00168"	"1.33e-06"	"-7.6070816"	"5.56084"	"-2.41"	"PGF"	"placental growth factor, vascular endothelial growth factor-related protein"
"ID9448"	"0.00212"	"1.88e-06"	"7.396867"	"5.24696"	"2.79"	""	""
"ID12214"	"0.00212"	"2.06e-06"	"-7.3404641"	"5.16158"	"-1.75"	"PVR"	"poliovirus receptor"
"ID4140"	"0.00212"	"2.08e-06"	"7.334727"	"5.15287"	"1.98"	"PLN"	"phospholamban"
"ID12441"	"0.00212"	"2.27e-06"	"-7.281354"	"5.07157"	"-1.31"	"SCAMP2"	"secretory carrier membrane protein 2"
"ID16117"	"0.00212"	"2.52e-06"	"7.2198893"	"4.97739"	"1.77"	"CLTB"	"clathrin, light chain (Lcb)"
"ID16002"	"0.00212"	"2.70e-06"	"7.1793713"	"4.91499"	"1.92"	"GAS2///FANCF"	"growth arrest-specific 2///Fanconi anemia, complementation group F"
"ID8413"	"0.00212"	"2.88e-06"	"-7.1408695"	"4.85545"	"-1.84"	"FADS3"	"fatty acid desaturase 3"
"ID15928"	"0.00212"	"2.89e-06"	"-7.1385998"	"4.85193"	"-3.88"	"PHLDA1"	"pleckstrin homology-like domain, family A, member 1"
"ID7697"	"0.00212"	"2.92e-06"	"7.13143"	"4.84081"	"3.22"	""	""
"ID9625"	"0.00212"	"2.97e-06"	"7.1228782"	"4.82755"	"2.22"	"LPL"	"lipoprotein lipase"
"ID7785"	"0.00216"	"3.15e-06"	"-7.0865104"	"4.77099"	"-1.68"	"GALNT5"	"UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 5 (GalNAc-T5)"
"ID7909"	"0.00221"	"3.37e-06"	"7.0480366"	"4.71093"	"1.78"	"CLTB"	"clathrin, light chain (Lcb)"
"ID7650"	"0.00273"	"4.37e-06"	"-6.8955217"	"4.47056"	"-1.73"	"DSP"	"desmoplakin"
"ID15584"	"0.00273"	"4.49e-06"	"6.8798113"	"4.44559"	"1.35"	"NDUFB3"	"NADH dehydrogenase (ubiquinone) 1 beta subcomplex, 3, 12kDa"
"ID1225"	"0.00288"	"4.91e-06"	"6.8273872"	"4.36199"	"3.98"	"CDK2"	"cyclin-dependent kinase 2"
"ID1240"	"0.00296"	"5.23e-06"	"6.7914518"	"4.30443"	"2.79"	""	""
"ID4994"	"0.0031"	"5.73e-06"	"6.7393062"	"4.22054"	"9.40e-01"	""	""
"ID7772"	"0.0031"	"5.85e-06"	"6.7270687"	"4.20079"	"1.19"	"NBEA"	"neurobeachin"
"ID12348"	"0.0031"	"6.05e-06"	"6.7077072"	"4.1695"	"1.75"	"PLN"	"phospholamban"
"ID7659"	"0.00312"	"6.41e-06"	"-6.6750673"	"4.11661"	"-1.50"	"NME1-NME2///UTP18///NME2///NME1"	"NME1-NME2///UTP18, small subunit (SSU) processome component, homolog (yeast)///non-metastatic cells 2, protein (NM23B) expressed in///non-metastatic cells 1, protein (NM23A) expressed in"
"ID205"	"0.00312"	"6.61e-06"	"-6.6573377"	"4.0878"	"-1.68"	"FADS3"	"fatty acid desaturase 3"
"ID7157"	"0.00312"	"6.65e-06"	"-6.6541401"	"4.08261"	"-1.75"	"MATN3"	"matrilin 3"
"ID15872"	"0.0034"	"7.46e-06"	"-6.5884261"	"3.97539"	"-2.64"	""	""
"ID15993"	"0.00383"	"8.90e-06"	"-6.4887701"	"3.81148"	"-1.48"	"GALNT5"	"UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 5 (GalNAc-T5)"
"ID4252"	"0.00383"	"9.12e-06"	"-6.4750179"	"3.78874"	"-2.30"	"KYNU"	"kynureninase (L-kynurenine hydrolase)"
"ID11447"	"0.00383"	"9.29e-06"	"-6.4642911"	"3.77098"	"-8.86e-01"	"DLEU1"	"deleted in lymphocytic leukemia, 1"
"ID15905"	"0.00383"	"9.44e-06"	"6.4556469"	"3.75666"	"3.23"	""	""
"ID12429"	"0.00383"	"9.57e-06"	"-6.4475884"	"3.74329"	"-1.97"	"ITGB3BP"	"integrin beta 3 binding protein (beta3-endonexin)"
"ID4006"	"0.00385"	"9.85e-06"	"-6.4317595"	"3.71701"	"-1.56"	"PVR"	"poliovirus receptor"
"ID4221"	"0.0039"	"1.02e-05"	"-6.4118435"	"3.68389"	"-1.93"	"ITGB3BP"	"integrin beta 3 binding protein (beta3-endonexin)"
"ID2185"	"0.00414"	"1.13e-05"	"6.3532056"	"3.58599"	"1.80"	"LDB2"	"LIM domain binding 2"
"ID7794"	"0.00414"	"1.13e-05"	"6.3527251"	"3.58519"	"1.89"	"GAS2///FANCF"	"growth arrest-specific 2///Fanconi anemia, complementation group F"
"ID1417"	"0.00467"	"1.31e-05"	"6.2735448"	"3.45214"	"2.00"	"LPL"	"lipoprotein lipase"
"ID10393"	"0.00486"	"1.40e-05"	"6.2371637"	"3.39067"	"1.67"	"LDB2"	"LIM domain binding 2"
"ID16265"	"0.00486"	"1.44e-05"	"6.2210644"	"3.36341"	"2.02"	"ASMTL"	"acetylserotonin O-methyltransferase-like"
"ID9433"	"0.00486"	"1.47e-05"	"6.2101958"	"3.34498"	"3.77"	"CDK2"	"cyclin-dependent kinase 2"
"ID14040"	"0.00486"	"1.49e-05"	"6.200595"	"3.32868"	"1.43"	"RASA1"	"RAS p21 protein activator (GTPase activating protein) 1"
"ID1239"	"0.00486"	"1.51e-05"	"6.1945846"	"3.31847"	"2.48"	"HUNK"	"hormonally upregulated Neu-associated kinase"
"ID15995"	"0.00486"	"1.54e-05"	"-6.183771"	"3.30009"	"-1.88"	""	""
"ID15771"	"0.00494"	"1.60e-05"	"-6.1638729"	"3.26622"	"-1.08"	"SMARCC1"	"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily c, member 1"
"ID9447"	"0.00538"	"1.77e-05"	"6.1073105"	"3.1696"	"2.67"	"HUNK"	"hormonally upregulated Neu-associated kinase"
"ID12549"	"0.00549"	"1.84e-05"	"-6.0862207"	"3.13344"	"-2.35"	"STK17A"	"serine/threonine kinase 17a"
"ID11440"	"0.00565"	"1.93e-05"	"-6.0602513"	"3.08883"	"-8.14e-01"	"RAB35"	"RAB35, member RAS oncogene family"
"ID13817"	"0.00601"	"2.11e-05"	"-6.011022"	"3.00396"	"-1.20"	"NEU1"	"sialidase 1 (lysosomal sialidase)"
"ID8524"	"0.00601"	"2.14e-05"	"6.00409"	"2.99198"	"1.06"	"ANGPT1"	"angiopoietin 1"
"ID15335"	"0.00601"	"2.16e-05"	"5.9976046"	"2.98077"	"2.51"	""	""
"ID71"	"0.00601"	"2.22e-05"	"5.9835155"	"2.95638"	"1.35"	"COX7C"	"cytochrome c oxidase subunit VIIc"
"ID15772"	"0.00601"	"2.23e-05"	"5.9804228"	"2.95103"	"9.51e-01"	"PLA2R1"	"phospholipase A2 receptor 1, 180kDa"
"ID7841"	"0.00658"	"2.49e-05"	"-5.9225904"	"2.85058"	"-2.20"	"WDHD1"	"WD repeat and HMG-box DNA binding protein 1"
"ID12587"	"0.00664"	"2.59e-05"	"-5.9013682"	"2.81359"	"-1.53"	"RAB33A"	"RAB33A, member RAS oncogene family"
"ID7376"	"0.00664"	"2.59e-05"	"5.901199"	"2.8133"	"1.38"	"NDUFB3"	"NADH dehydrogenase (ubiquinone) 1 beta subcomplex, 3, 12kDa"
"ID15365"	"0.0067"	"2.65e-05"	"-5.8877103"	"2.78975"	"-1.50"	"MATN3"	"matrilin 3"
"ID9845"	"0.00692"	"2.82e-05"	"5.8556841"	"2.73373"	"1.04"	""	""
"ID6019"	"0.00692"	"2.82e-05"	"-5.8539826"	"2.73075"	"-1.82"	"SRC"	"v-src sarcoma (Schmidt-Ruppin A-2) viral oncogene homolog (avian)"
"ID6432"	"0.00727"	"3.01e-05"	"-5.8199545"	"2.67106"	"-2.02"	"RAD51AP1"	"RAD51 associated protein 1"
"ID4341"	"0.00764"	"3.21e-05"	"-5.7856136"	"2.61063"	"-2.25"	"STK17A"	"serine/threonine kinase 17a"
"ID10099"	"0.00764"	"3.30e-05"	"5.7709568"	"2.58479"	"3.18"	""	""
"ID13305"	"0.00764"	"3.42e-05"	"-5.7519372"	"2.5512"	"-1.40"	"TUBB2A"	"tubulin, beta 2A"
"ID4165"	"0.00764"	"3.44e-05"	"5.7482438"	"2.54467"	"2.41"	"PTDSS1"	"phosphatidylserine synthase 1"
