"ID"	"adj.P.Val"	"P.Value"	"t"	"B"	"logFC"	"Gene.symbol"	"Gene.title"
"ID7611"	"0.0000208"	"1.27e-09"	"-10.08149"	"11.815932"	"-2.4811235"	"FRY"	"furry homolog (Drosophila)"
"ID15819"	"0.0000293"	"3.57e-09"	"-9.511626"	"10.900198"	"-2.3762729"	"FRY"	"furry homolog (Drosophila)"
"ID15980"	"0.0000966"	"1.77e-08"	"-8.671208"	"9.462878"	"-1.278053"	"NBEA"	"neurobeachin"
"ID4608"	"0.00014"	"3.41e-08"	"8.338255"	"8.86389"	"1.772993"	"PRC1"	"protein regulator of cytokinesis 1"
"ID7772"	"0.0001471"	"4.95e-08"	"-8.153789"	"8.524681"	"-1.1732718"	"NBEA"	"neurobeachin"
"ID15928"	"0.0001471"	"5.38e-08"	"8.11256"	"8.448146"	"3.5683744"	"PHLDA1"	"pleckstrin homology-like domain, family A, member 1"
"ID8413"	"0.0004068"	"1.75e-07"	"7.541157"	"7.360274"	"1.8135482"	"FADS3"	"fatty acid desaturase 3"
"ID1241"	"0.0004068"	"2.04e-07"	"-7.46987"	"7.221003"	"-3.8602819"	""	""
"ID9449"	"0.0004068"	"2.23e-07"	"-7.427676"	"7.138201"	"-3.907516"	""	""
"ID7720"	"0.0006198"	"3.78e-07"	"7.181522"	"6.64969"	"3.5518235"	"PHLDA1"	"pleckstrin homology-like domain, family A, member 1"
"ID8152"	"0.0006783"	"5.00e-07"	"-7.051754"	"6.388436"	"-1.3695464"	"SCNN1D"	"sodium channel, nonvoltage-gated 1, delta"
"ID9597"	"0.0006783"	"5.40e-07"	"7.016739"	"6.317504"	"2.1143792"	"PGF"	"placental growth factor, vascular endothelial growth factor-related protein"
"ID4221"	"0.0006783"	"5.75e-07"	"6.987175"	"6.257474"	"1.9227267"	"ITGB3BP"	"integrin beta 3 binding protein (beta3-endonexin)"
"ID7650"	"0.0006783"	"6.11e-07"	"6.959598"	"6.201358"	"1.7149264"	"DSP"	"desmoplakin"
"ID4237"	"0.0006783"	"6.92e-07"	"6.902871"	"6.085568"	"2.2017827"	""	""
"ID7659"	"0.0006783"	"7.18e-07"	"6.885893"	"6.050821"	"1.6214943"	"NME1-NME2///UTP18///NME2///NME1"	"NME1-NME2///UTP18, small subunit (SSU) processome component, homolog (yeast)///non-metastatic cells 2, protein (NM23B) expressed in///non-metastatic cells 1, protein (NM23A) expressed in"
"ID15881"	"0.0006783"	"7.22e-07"	"6.883387"	"6.045688"	"1.264668"	"RGS4"	"regulator of G-protein signaling 4"
"ID15872"	"0.0006783"	"7.71e-07"	"6.853538"	"5.984483"	"2.276338"	""	""
"ID12815"	"0.0006783"	"8.23e-07"	"6.824065"	"5.923919"	"2.0289118"	"BUB1B"	"BUB1 budding uninhibited by benzimidazoles 1 homolog beta (yeast)"
"ID9448"	"0.0006783"	"9.47e-07"	"-6.760445"	"5.79275"	"-2.7393728"	""	""
"ID12549"	"0.0006783"	"9.59e-07"	"6.754493"	"5.780446"	"2.1767492"	"STK17A"	"serine/threonine kinase 17a"
