"ID"	"adj.P.Val"	"P.Value"	"t"	"B"	"logFC"	"Gene.symbol"	"Gene.title"
"ID7611"	"0.00191"	"1.16e-07"	"9.614647"	"7.47598"	"2.30802467"	"FRY"	"furry homolog (Drosophila)"
"ID15819"	"0.00586"	"7.14e-07"	"8.3020106"	"5.97243"	"2.21691113"	"FRY"	"furry homolog (Drosophila)"
"ID7772"	"0.00704"	"1.67e-06"	"7.7326339"	"5.24428"	"1.15292696"	"NBEA"	"neurobeachin"
"ID15980"	"0.00704"	"1.72e-06"	"7.7139105"	"5.21951"	"1.25252663"	"NBEA"	"neurobeachin"
"ID14684"	"0.01102"	"3.36e-06"	"-7.2826553"	"4.63376"	"-1.56394217"	""	""
"ID4608"	"0.01175"	"4.30e-06"	"-7.1278493"	"4.41634"	"-1.73666979"	"PRC1"	"protein regulator of cytokinesis 1"
"ID15440"	"0.01223"	"5.98e-06"	"-6.9235984"	"4.1236"	"-1.73928625"	"PYGL"	"phosphorylase, glycogen; liver (Hers disease, glycogen storage disease type VI)"
"ID9449"	"0.01223"	"6.38e-06"	"6.8837918"	"4.06576"	"3.79141971"	""	""
"ID15881"	"0.01223"	"6.71e-06"	"-6.8532549"	"4.02122"	"-1.3651525"	"RGS4"	"regulator of G-protein signaling 4"
"ID1241"	"0.01254"	"7.64e-06"	"6.7740657"	"3.905"	"3.67032896"	""	""
"ID7771"	"0.01371"	"1.13e-05"	"6.5411691"	"3.55727"	"1.22873575"	"CDSN"	"corneodesmosin"
"ID7720"	"0.01371"	"1.15e-05"	"-6.5288155"	"3.53858"	"-3.56458225"	"PHLDA1"	"pleckstrin homology-like domain, family A, member 1"
"ID14386"	"0.01371"	"1.25e-05"	"-6.4787983"	"3.46264"	"-1.32225342"	"HEMGN"	"hemogen"
"ID9597"	"0.01371"	"1.34e-05"	"-6.4402713"	"3.40386"	"-1.77499192"	"PGF"	"placental growth factor, vascular endothelial growth factor-related protein"
"ID15870"	"0.01371"	"1.45e-05"	"6.3923058"	"3.33035"	"1.73588683"	"ZDHHC2"	"zinc finger, DHHC-type containing 2"
"ID12549"	"0.01371"	"1.51e-05"	"-6.3700738"	"3.29615"	"-1.97221529"	"STK17A"	"serine/threonine kinase 17a"
"ID13305"	"0.01371"	"1.53e-05"	"-6.3608995"	"3.28201"	"-1.56028208"	"TUBB2A"	"tubulin, beta 2A"
"ID4221"	"0.01371"	"1.57e-05"	"-6.3461688"	"3.25928"	"-1.91493575"	"ITGB3BP"	"integrin beta 3 binding protein (beta3-endonexin)"
"ID8413"	"0.01371"	"1.59e-05"	"-6.3393873"	"3.2488"	"-1.78282"	"FADS3"	"fatty acid desaturase 3"
"ID7659"	"0.01522"	"1.85e-05"	"-6.2484527"	"3.10761"	"-1.76578138"	"NME1-NME2///UTP18///NME2///NME1"	"NME1-NME2///UTP18, small subunit (SSU) processome component, homolog (yeast)///non-metastatic cells 2, protein (NM23B) expressed in///non-metastatic cells 1, protein (NM23A) expressed in"
"ID3002"	"0.01803"	"2.69e-05"	"-6.0352348"	"2.77122"	"-0.98072083"	"CACNA1H"	"calcium channel, voltage-dependent, T type, alpha 1H subunit"
"ID11247"	"0.01803"	"2.70e-05"	"6.0327231"	"2.76722"	"1.43630729"	"PRM1"	"protamine 1"
"ID4341"	"0.01803"	"2.77e-05"	"-6.016999"	"2.74211"	"-1.95162242"	"STK17A"	"serine/threonine kinase 17a"
"ID12627"	"0.01803"	"2.81e-05"	"-6.0095419"	"2.73019"	"-1.45832425"	""	""
"ID15928"	"0.01803"	"2.97e-05"	"-5.9787741"	"2.6809"	"-3.21027729"	"PHLDA1"	"pleckstrin homology-like domain, family A, member 1"
"ID15872"	"0.01803"	"3.00e-05"	"-5.9718997"	"2.66987"	"-1.85562417"	""	""
"ID6301"	"0.01803"	"3.08e-05"	"-5.9568398"	"2.64567"	"-1.17300429"	""	""
"ID16392"	"0.01803"	"3.41e-05"	"-5.8992362"	"2.55278"	"-1.570279"	""	""
"ID10890"	"0.01803"	"3.50e-05"	"-5.8852096"	"2.53008"	"-1.187638"	"HIST1H2AM"	"histone cluster 1, H2am"
"ID9281"	"0.01803"	"3.53e-05"	"-5.8807415"	"2.52285"	"-1.28192763"	"LTF"	"lactotransferrin"
"ID8517"	"0.01803"	"3.56e-05"	"-5.875305"	"2.51404"	"-1.20188521"	"ACOT9"	"acyl-CoA thioesterase 9"
"ID8521"	"0.01803"	"3.63e-05"	"-5.8641717"	"2.49598"	"-1.02453158"	"PRPS1L1"	"phosphoribosyl pyrophosphate synthetase 1-like 1"
"ID14227"	"0.01803"	"3.64e-05"	"-5.8638309"	"2.49543"	"-1.70181558"	"SRC"	"v-src sarcoma (Schmidt-Ruppin A-2) viral oncogene homolog (avian)"
"ID6377"	"0.01803"	"3.88e-05"	"-5.8268024"	"2.43522"	"-1.13169646"	"TBL2"	"transducin (beta)-like 2"
"ID5072"	"0.01803"	"3.97e-05"	"5.8146678"	"2.41544"	"1.28219454"	"NEDD1"	"neural precursor cell expressed, developmentally down-regulated 1"
"ID8152"	"0.01803"	"4.03e-05"	"5.8054731"	"2.40044"	"1.47046629"	"SCNN1D"	"sodium channel, nonvoltage-gated 1, delta"
"ID1924"	"0.01803"	"4.06e-05"	"-5.8013845"	"2.39376"	"-2.12253013"	"BEX2"	"brain expressed X-linked 2"
"ID821"	"0.01873"	"4.38e-05"	"5.7600829"	"2.32618"	"1.43334229"	"SSPN"	"sarcospan (Kras oncogene-associated gene)"
"ID14263"	"0.01873"	"4.59e-05"	"-5.7334408"	"2.28244"	"-1.09333979"	"SLC39A1"	"solute carrier family 39 (zinc transporter), member 1"
"ID1240"	"0.01873"	"4.71e-05"	"5.7191694"	"2.25896"	"2.64822367"	""	""
"ID12816"	"0.01873"	"4.88e-05"	"-5.6988719"	"2.22551"	"-1.70251171"	"PRC1"	"protein regulator of cytokinesis 1"
"ID582"	"0.01873"	"4.95e-05"	"-5.6912009"	"2.21286"	"-1.4322715"	"RNF138"	"ring finger protein 138"
"ID12429"	"0.01873"	"4.95e-05"	"-5.6911454"	"2.21276"	"-1.72393467"	"ITGB3BP"	"integrin beta 3 binding protein (beta3-endonexin)"
"ID9448"	"0.01873"	"5.02e-05"	"5.6834448"	"2.20005"	"2.68550238"	""	""
"ID9212"	"0.01897"	"5.36e-05"	"-5.6471383"	"2.13997"	"-1.64824892"	"SLC27A2"	"solute carrier family 27 (fatty acid transporter), member 2"
"ID6019"	"0.01897"	"5.52e-05"	"-5.6313686"	"2.11381"	"-1.80704938"	"SRC"	"v-src sarcoma (Schmidt-Ruppin A-2) viral oncogene homolog (avian)"
"ID10506"	"0.01897"	"5.57e-05"	"5.6262806"	"2.10536"	"1.3804935"	"LOC651370///ADAM3A"	"similar to a disintegrin and metalloprotease domain 3 (cyritestin)///ADAM metallopeptidase domain 3A (cyritestin 1)"
"ID7499"	"0.01897"	"5.59e-05"	"-5.6242207"	"2.10194"	"-1.52110871"	"LDOC1"	"leucine zipper, down-regulated in cancer 1"
"ID7662"	"0.01897"	"5.70e-05"	"5.6135338"	"2.08417"	"1.81341071"	"ZDHHC2"	"zinc finger, DHHC-type containing 2"
"ID13249"	"0.01897"	"5.78e-05"	"-5.6056017"	"2.07098"	"-1.30775733"	"ABCG2"	"ATP-binding cassette, sub-family G (WHITE), member 2"
"ID16181"	"0.01951"	"6.06e-05"	"-5.5792362"	"2.02704"	"-1.14199617"	"FKBP2"	"FK506 binding protein 2, 13kDa"
"ID10479"	"0.01974"	"6.25e-05"	"-5.562182"	"1.99857"	"-1.37642692"	"GNRHR2///RBM8A"	"gonadotropin-releasing hormone (type 2) receptor 2///RNA binding motif protein 8A"
"ID13398"	"0.02027"	"6.54e-05"	"-5.5371704"	"1.95672"	"-1.07589642"	"EMG1"	"EMG1 nucleolar protein homolog (S. cerevisiae)"
"ID8089"	"0.02046"	"6.75e-05"	"-5.5204566"	"1.9287"	"-1.29473563"	"FKBP11"	"FK506 binding protein 11, 19 kDa"
"ID6632"	"0.02046"	"6.95e-05"	"-5.5040356"	"1.90113"	"-0.93595775"	"NR0B2"	"nuclear receptor subfamily 0, group B, member 2"
"ID9447"	"0.02046"	"6.98e-05"	"5.5019019"	"1.89755"	"2.64269283"	"HUNK"	"hormonally upregulated Neu-associated kinase"
"ID12897"	"0.02058"	"7.15e-05"	"5.4889954"	"1.87584"	"1.22229829"	""	""
"ID298"	"0.0206"	"7.28e-05"	"-5.4788857"	"1.85883"	"-2.64608475"	"MAGEB2"	"melanoma antigen family B, 2"
"ID4293"	"0.02069"	"7.44e-05"	"5.4671508"	"1.83905"	"1.45622092"	"VSIG2"	"V-set and immunoglobulin domain containing 2"
"ID7973"	"0.02146"	"7.86e-05"	"-5.4369485"	"1.78806"	"-1.23517667"	"FKBP2"	"FK506 binding protein 2, 13kDa"
"ID9062"	"0.02146"	"7.98e-05"	"-5.4290117"	"1.77464"	"-1.31692"	"BUD31"	"BUD31 homolog (S. cerevisiae)"
"ID6432"	"0.02213"	"8.36e-05"	"-5.4034918"	"1.73141"	"-1.53226517"	"RAD51AP1"	"RAD51 associated protein 1"
"ID7650"	"0.02245"	"8.61e-05"	"-5.3871246"	"1.70364"	"-1.70128529"	"DSP"	"desmoplakin"
"ID8357"	"0.02319"	"9.04e-05"	"5.3608404"	"1.65895"	"3.11231258"	"UCK2"	"uridine-cytidine kinase 2"
"ID13280"	"0.02391"	"9.72e-05"	"5.3218344"	"1.59243"	"1.3002225"	"NEDD1"	"neural precursor cell expressed, developmentally down-regulated 1"
"ID4237"	"0.02391"	"9.72e-05"	"-5.3217914"	"1.59236"	"-2.26548896"	""	""
"ID13735"	"0.02391"	"9.79e-05"	"5.3178867"	"1.58569"	"0.88843138"	"CLEC3B"	"C-type lectin domain family 3, member B"
"ID7673"	"0.02391"	"9.99e-05"	"-5.3069892"	"1.56706"	"-1.11094517"	"RGS4"	"regulator of G-protein signaling 4"
"ID15020"	"0.02391"	"1.02e-04"	"-5.2973499"	"1.55056"	"-1.02308371"	"MAGOH"	"mago-nashi homolog, proliferation-associated (Drosophila)"
"ID10132"	"0.02391"	"1.02e-04"	"-5.2958766"	"1.54804"	"-2.42743767"	"BEX2"	"brain expressed X-linked 2"
"ID9433"	"0.02401"	"1.04e-04"	"5.2859769"	"1.53108"	"3.51345904"	"CDK2"	"cyclin-dependent kinase 2"
"ID3904"	"0.02521"	"1.11e-04"	"5.2522706"	"1.47324"	"1.20401204"	"UTRN"	"utrophin"
"ID10647"	"0.0258"	"1.15e-04"	"5.2322773"	"1.43884"	"1.02914658"	""	""
"ID15098"	"0.02616"	"1.18e-04"	"-5.2176116"	"1.41358"	"-1.21699787"	"LCP1"	"lymphocyte cytosolic protein 1 (L-plastin)"
"ID12501"	"0.02626"	"1.24e-04"	"5.1902288"	"1.36632"	"1.44681417"	"VSIG2"	"V-set and immunoglobulin domain containing 2"
"ID9631"	"0.02626"	"1.29e-04"	"-5.1691922"	"1.32994"	"-1.26038829"	"NPC1"	"Niemann-Pick disease, type C1"
"ID5199"	"0.02626"	"1.29e-04"	"5.1677535"	"1.32745"	"1.94506408"	"AKAP7"	"A kinase (PRKA) anchor protein 7"
"ID9031"	"0.02626"	"1.31e-04"	"-5.1631019"	"1.31939"	"-1.04794525"	"SNRPG"	"small nuclear ribonucleoprotein polypeptide G"
"ID7232"	"0.02626"	"1.31e-04"	"-5.1609007"	"1.31558"	"-1.58880442"	"PYGL"	"phosphorylase, glycogen; liver (Hers disease, glycogen storage disease type VI)"
